MethodName	CoveredStatement	TotalStatement	StatementCoverage	CoveredBranch	TotalBranch	BranchCoverage
org.apache.commons.math3.util.FastMath.cosh	33	34	0.9705882	11	12	0.9166667
org.apache.commons.math3.util.FastMath.sqrt	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath.doubleHighPart	4	5	0.8	2	3	0.6666667
org.apache.commons.math3.util.FastMath.<init>	0	1	0.0	0	0	0.0
org.apache.commons.math3.util.FastMath$lnMant.<clinit>	2	2	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath$lnMant.access$400	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath$lnMant.<init>	0	1	0.0	0	0	0.0
org.apache.commons.math3.util.FastMathLiteralArrays.<clinit>	5	5	1.0	0	0	0.0
org.apache.commons.math3.util.FastMathLiteralArrays.loadLnMant	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMathLiteralArrays.loadExpFracB	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMathLiteralArrays.loadExpFracA	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMathLiteralArrays.loadExpIntB	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMathLiteralArrays.loadExpIntA	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMathLiteralArrays.<init>	0	1	0.0	0	0	0.0
org.apache.commons.math3.util.Precision.<clinit>	3	3	1.0	0	0	0.0
org.apache.commons.math3.util.Precision.representableDelta	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.Precision.roundUnscaled	48	48	1.0	25	25	1.0
org.apache.commons.math3.util.Precision.round	3	3	1.0	0	0	0.0
org.apache.commons.math3.util.Precision.round	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.Precision.round	7	7	1.0	2	2	1.0
org.apache.commons.math3.util.Precision.round	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.Precision.equalsIncludingNaN	1	1	1.0	4	4	1.0
org.apache.commons.math3.util.Precision.equals	8	8	1.0	10	10	1.0
org.apache.commons.math3.util.Precision.equalsIncludingNaN	1	1	1.0	3	3	1.0
org.apache.commons.math3.util.Precision.equalsWithRelativeTolerance	5	5	1.0	4	4	1.0
org.apache.commons.math3.util.Precision.equals	1	1	1.0	3	3	1.0
org.apache.commons.math3.util.Precision.equalsIncludingNaN	1	1	1.0	4	4	1.0
org.apache.commons.math3.util.Precision.equals	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.Precision.equalsIncludingNaN	0	1	0.0	0	4	0.0
org.apache.commons.math3.util.Precision.equals	8	8	1.0	10	10	1.0
org.apache.commons.math3.util.Precision.equalsIncludingNaN	0	1	0.0	0	3	0.0
org.apache.commons.math3.util.Precision.equals	0	1	0.0	0	3	0.0
org.apache.commons.math3.util.Precision.equalsIncludingNaN	0	1	0.0	0	4	0.0
org.apache.commons.math3.util.Precision.equals	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.Precision.compareTo	5	5	1.0	4	4	1.0
org.apache.commons.math3.util.Precision.compareTo	5	5	1.0	4	4	1.0
org.apache.commons.math3.util.Precision.<init>	0	1	0.0	0	0	0.0
org.apache.commons.math3.util.FastMath$ExpIntTable.<clinit>	3	3	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath$ExpIntTable.access$100	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath$ExpIntTable.access$000	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath$ExpIntTable.<init>	0	1	0.0	0	0	0.0
org.apache.commons.math3.util.FastMath$ExpFracTable.<clinit>	3	3	1.0	0	0	0.0
